Rank,year,title,letterboxd_url
627,1961,The End of Summer,https://letterboxd.com/film/the-end-of-summer/
628,1961,Splendor in the Grass,https://letterboxd.com/film/splendor-in-the-grass/
629,1977,Eraserhead,https://letterboxd.com/film/eraserhead/
630,1964,Red Desert,https://letterboxd.com/film/red-desert/
631,1991,Beauty and the Beast,https://letterboxd.com/film/beauty-and-the-beast-1991/
632,1968,Shame,https://letterboxd.com/film/shame/
633,2006,Pan's Labyrinth,https://letterboxd.com/film/pans-labyrinth/
634,1986,Blue Velvet,https://letterboxd.com/film/blue-velvet/
635,1931,The Public Enemy,https://letterboxd.com/film/the-public-enemy/
636,1963,The Executioner,https://letterboxd.com/film/the-executioner/
637,1973,The Holy Mountain,https://letterboxd.com/film/the-holy-mountain/
638,1954,Twenty-Four Eyes,https://letterboxd.com/film/twenty-four-eyes/
639,2023,Anatomy of a Fall,https://letterboxd.com/film/anatomy-of-a-fall/
640,1954,Godzilla,https://letterboxd.com/film/godzilla/
641,1925,Strike,https://letterboxd.com/film/strike/
642,1991,JFK,https://letterboxd.com/film/jfk/
643,1942,Random Harvest,https://letterboxd.com/film/random-harvest/
644,1975,The Man Who Would Be King,https://letterboxd.com/film/the-man-who-would-be-king/
645,1975,Manila in the Claws of Light,https://letterboxd.com/film/manila-in-the-claws-of-light/
646,1977,Opening Night,https://letterboxd.com/film/opening-night/
647,1986,Stand by Me,https://letterboxd.com/film/stand-by-me/
648,1947,Gentleman's Agreement,https://letterboxd.com/film/gentlemans-agreement/
649,1958,Equinox Flower,https://letterboxd.com/film/equinox-flower/
650,1983,The Ballad of Narayama,https://letterboxd.com/film/the-ballad-of-narayama/
651,1938,Pygmalion,https://letterboxd.com/film/pygmalion/
652,1935,The Informer,https://letterboxd.com/film/the-informer/
653,1995,The Usual Suspects,https://letterboxd.com/film/the-usual-suspects/
654,1939,Wuthering Heights,https://letterboxd.com/film/wuthering-heights/
655,1958,The Defiant Ones,https://letterboxd.com/film/the-defiant-ones/
656,1983,Return of the Jedi,https://letterboxd.com/film/return-of-the-jedi/
657,1970,Tristana,https://letterboxd.com/film/tristana/
658,1981,Blow Out,https://letterboxd.com/film/blow-out/
659,1962,Sundays and Cybele,https://letterboxd.com/film/sundays-and-cybele/
660,1975,Grey Gardens,https://letterboxd.com/film/grey-gardens/
661,1938,Holiday,https://letterboxd.com/film/holiday/
662,1938,Angels with Dirty Faces,https://letterboxd.com/film/angels-with-dirty-faces/
663,1950,Harvey,https://letterboxd.com/film/harvey/
664,1953,Él,https://letterboxd.com/film/el/
665,1966,Masculin Féminin,https://letterboxd.com/film/masculin-feminin/
666,1968,Faces,https://letterboxd.com/film/faces-1968/
667,1948,The Fallen Idol,https://letterboxd.com/film/the-fallen-idol/
668,1968,The Great Silence,https://letterboxd.com/film/the-great-silence/
669,1999,Magnolia,https://letterboxd.com/film/magnolia/
670,1928,The Cameraman,https://letterboxd.com/film/the-cameraman/
671,1941,Hellzapoppin',https://letterboxd.com/film/hellzapoppin/
672,1983,The Right Stuff,https://letterboxd.com/film/the-right-stuff/
673,1941,Ball of Fire,https://letterboxd.com/film/ball-of-fire/
674,1943,The More the Merrier,https://letterboxd.com/film/the-more-the-merrier/
675,2023,Oppenheimer,https://letterboxd.com/film/oppenheimer-2023/
676,1931,Marius,https://letterboxd.com/film/marius/
677,1927,October (Ten Days that Shook the World),https://letterboxd.com/film/october-ten-days-that-shook-the-world/
678,1932,Horse Feathers,https://letterboxd.com/film/horse-feathers/
679,1930,City Girl,https://letterboxd.com/film/city-girl/
680,2000,Gladiator,https://letterboxd.com/film/gladiator-2000/
681,2021,Drive My Car,https://letterboxd.com/film/drive-my-car/
682,2006,The Lives of Others,https://letterboxd.com/film/the-lives-of-others/
683,1966,The Sword of Doom,https://letterboxd.com/film/the-sword-of-doom/
684,2004,Eternal Sunshine of the Spotless Mind,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
685,1960,Late Autumn,https://letterboxd.com/film/late-autumn/
686,1939,Love Affair,https://letterboxd.com/film/love-affair-1939/
687,1985,El Keif,https://letterboxd.com/film/el-keif/
688,1967,Point Blank,https://letterboxd.com/film/point-blank/
689,1958,The Ballad of Narayama,https://letterboxd.com/film/the-ballad-of-narayama-1958/
690,1958,Big Deal on Madonna Street,https://letterboxd.com/film/big-deal-on-madonna-street/
691,1987,Pelle the Conqueror,https://letterboxd.com/film/pelle-the-conqueror/
692,1959,Fires on the Plain,https://letterboxd.com/film/fires-on-the-plain/
693,1997,Princess Mononoke,https://letterboxd.com/film/princess-mononoke/
694,1964,Pale Flower,https://letterboxd.com/film/pale-flower/
695,1979,Tess,https://letterboxd.com/film/tess/
696,1974,Alice in the Cities,https://letterboxd.com/film/alice-in-the-cities/
697,1982,The Verdict,https://letterboxd.com/film/the-verdict-1982/
698,1983,El Sur,https://letterboxd.com/film/el-sur/
699,1959,The Bridge,https://letterboxd.com/film/the-bridge-1959/
700,1945,Leave Her to Heaven,https://letterboxd.com/film/leave-her-to-heaven/
701,1951,Othello,https://letterboxd.com/film/othello-1951/
702,1971,The Working Class Goes to Heaven,https://letterboxd.com/film/the-working-class-goes-to-heaven/
703,1972,Deliverance,https://letterboxd.com/film/deliverance/
704,1988,Landscape in the Mist,https://letterboxd.com/film/landscape-in-the-mist/
705,1948,They Live by Night,https://letterboxd.com/film/they-live-by-night/
706,1988,Time of the Gypsies,https://letterboxd.com/film/time-of-the-gypsies/
707,1971,Dirty Harry,https://letterboxd.com/film/dirty-harry/
708,1970,The Land,https://letterboxd.com/film/the-land/
709,1974,Pastoral: To Die in the Country,https://letterboxd.com/film/pastoral-to-die-in-the-country/
710,1987,Withnail & I,https://letterboxd.com/film/withnail-i/
711,1958,Elevator to the Gallows,https://letterboxd.com/film/elevator-to-the-gallows/
712,1940,The Thief of Bagdad,https://letterboxd.com/film/the-thief-of-bagdad-1940/
713,1981,Chariots of Fire,https://letterboxd.com/film/chariots-of-fire/
714,2007,"4 Months, 3 Weeks and 2 Days",https://letterboxd.com/film/4-months-3-weeks-and-2-days/
715,1943,The Song of Bernadette,https://letterboxd.com/film/the-song-of-bernadette/
716,1961,"Léon Morin, Priest",https://letterboxd.com/film/leon-morin-priest/
717,1930,Earth,https://letterboxd.com/film/earth-1930/
718,1979,Vengeance Is Mine,https://letterboxd.com/film/vengeance-is-mine/
719,1944,Lifeboat,https://letterboxd.com/film/lifeboat/
720,1955,Kiss Me Deadly,https://letterboxd.com/film/kiss-me-deadly/
721,1966,Black Girl,https://letterboxd.com/film/black-girl-1966/
722,1962,The Longest Day,https://letterboxd.com/film/the-longest-day/
723,1922,Häxan,https://letterboxd.com/film/haxan/
724,1985,Mishima: A Life in Four Chapters,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
725,2002,The Lord of the Rings: The Two Towers,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
726,2004,Million Dollar Baby,https://letterboxd.com/film/million-dollar-baby/
727,1996,Trainspotting,https://letterboxd.com/film/trainspotting/
728,1958,Auntie Mame,https://letterboxd.com/film/auntie-mame/
729,1942,The Palm Beach Story,https://letterboxd.com/film/the-palm-beach-story/
730,1933,Little Women,https://letterboxd.com/film/little-women/
731,1960,Elmer Gantry,https://letterboxd.com/film/elmer-gantry/
732,1984,Repentance,https://letterboxd.com/film/repentance/
